"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"BT1,BT2,BT3,BT4,BT5,BT6,BT7","7","Battery_Cell","","","","cell:keystone 254 18650","~"
"C1,C8,C8M1,C13,C18,C23,C28","7","1u","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C1M1,C2M1,C3M1,C4M1,C5M1,C6M1,C7M1","7","220n","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C2,C9,C14,C19,C29","5","100n","","","","Capacitor_SMD:C_0805_2012Metric",""
"C3,C6,C11,C16,C21,C26","6","1n","","","","Capacitor_SMD:C_0805_2012Metric",""
"C4,C5,C7,C10,C12,C15,C17,C20,C22,C25,C27,C30","12","22u","","","","Capacitor_SMD:C_0805_2012Metric",""
"C9M1,C14M1,C15M1","3","100p","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C10M1","1","0.47u","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C11M1,C12M1,C13M1","3","22n","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C16M1","1","2.2u","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C24","1","100nF","","","","Capacitor_SMD:C_0805_2012Metric",""
"D1,D2","2","D_Schottky","","","","Diode_SMD:D_0805_2012Metric","~"
"F1","1","Fuse","","","","Fuse:Fuseholder_Blade_Mini_Keystone_3568","~"
"IC1,IC2,IC3,IC4,IC5,IC6","6","MP2643","","","","SamacSys_Parts:MP2639AGRZ","http://www.monolithicpower.com/pub/media/document/MP2639A_r1.0.pdf"
"IC7","1","BQ7694204PFBR","","","","Package_QFP:Texas_PHP0048E_HTQFP-48-1EP_7x7mm_P0.5mm_EP6.5x6.5mm_Mask3.62x3.62mm","https://www.ti.com/lit/gpn/bq76942"
"J1,J5","2","Conn_01x02_Socket","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"J2","1","Conn_01x02_Socket","","","","cell:XT60","~"
"J3","1","Conn_01x14_Socket","","","","Connector_JST:JST_XH_S14B-XH-A-1_1x14_P2.50mm_Horizontal","~"
"J4","1","Conn_01x13_Socket","","","","Connector_JST:JST_XH_B13B-XH-A_1x13_P2.50mm_Vertical","~"
"K1","1","J107F1CS203VDC.80","","","","cell:3_3v relay","https://standexelectronics.com/wp-content/uploads/datasheet_reed_relay_DIP.pdf"
"L1,L2,L3,L4,L5,L6","6","1uH","","","","SamacSys_Parts:MPLAL4020R47 Inductor",""
"Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12","12","FODM121","","","","SamacSys_Parts:SOP254P675X240-4N","https://www.onsemi.com/pub/Collateral/FODM2705-D.PDF"
"Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25","13","2N7002","","","","Package_TO_SOT_SMD:SOT-23","https://www.onsemi.com/pub/Collateral/NDS7002A-D.PDF"
"R1,R11,R18,R25,R32,R39","6","120k","","","","Resistor_SMD:R_0805_2012Metric",""
"R1M1,R2M1,R3M1,R4M1,R5M1,R6M1,R7M1,R8M1","8","20","","","","Resistor_SMD:R_0805_2012Metric","~"
"R1_P1","1","R","","","","Resistor_SMD:R_1210_3225Metric","~"
"R2,R10,R17,R24,R31,R38","6","150k","","","","Resistor_SMD:R_0805_2012Metric",""
"R3,R12,R19,R26,R33,R40,R58,R59","8","0","","","","Resistor_SMD:R_0805_2012Metric","~"
"R4,R8,R15,R22,R29,R36","6","2M","","","","Resistor_SMD:R_0805_2012Metric",""
"R5,R9,R16,R23,R30,R37","6","330k","","","","Resistor_SMD:R_0805_2012Metric",""
"R6,R7,R13,R14,R20,R21,R27,R28,R34,R35,R41,R42,R60,R61,R62,R63,R64,R65,R66,R67,R68,R69,R70,R71,R72","25","10k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R9M1,R13M1,R14M1","3","100","","","","Resistor_SMD:R_0805_2012Metric","~"
"R10M1,R11M1","2","150","","","","Resistor_SMD:R_0805_2012Metric","~"
"R43,R44,R45,R46,R47,R48,R49,R50,R51,R52,R53,R54","12","720","","","","Resistor_SMD:R_0805_2012Metric","~"
"R55,R56,R57","3","10K","","","","Resistor_SMD:R_0805_2012Metric","~"
"TH1,TH2,TH3","3","Thermistor","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","~"
"U1","1","Teensy4.0","","","","teensy.pretty-master:Teensy40_SMT",""
