Designator,Mid X,Mid Y,Rotation,Layer
BT1,227.03,-72.743,90.0,top
BT2,201.63,-72.743,270.0,top
BT3,176.23,-72.743,90.0,top
BT4,150.83,-72.743,270.0,top
BT5,150.83,-72.743,90.0,bottom
BT6,176.23,-72.743,270.0,bottom
BT7,201.63,-72.743,90.0,bottom
C1,51.0,-57.975,180.0,top
C10,47.4,-69.675,0.0,top
C10M1,110.45,-73.0,270.0,top
C11,53.4215,-96.7115,90.0,top
C11M1,115.45,-76.5,90.0,top
C12,44.1215,-97.0115,270.0,top
C12M1,118.45,-79.5,0.0,top
C13,50.5715,-99.8615,180.0,top
C13M1,118.45,-82.0,0.0,top
C14,44.925883,-100.455729,90.0,top
C14M1,112.45,-90.0,270.0,top
C15,47.4715,-91.0615,0.0,top
C15M1,114.95,-92.45,270.0,top
C16,81.16,-95.73,90.0,top
C16M1,115.95,-86.25,0.0,top
C17,71.86,-96.03,270.0,top
C18,78.31,-98.88,180.0,top
C19,72.664383,-99.474229,90.0,top
C1M1,109.0,-88.5,0.0,top
C2,45.354383,-58.569229,90.0,top
C20,75.21,-90.08,0.0,top
C21,80.845,-75.155,90.0,top
C22,71.545,-75.455,270.0,top
C23,77.995,-78.305,180.0,top
C24,72.349383,-78.899229,90.0,top
C25,74.895,-69.505,0.0,top
C26,81.31,-55.015,90.0,top
C27,72.01,-55.315,270.0,top
C28,78.46,-58.165,180.0,top
C29,72.814383,-58.759229,90.0,top
C2M1,108.95,-94.5,0.0,top
C3,53.85,-54.825,90.0,top
C30,75.36,-49.365,0.0,top
C3M1,105.95,-92.5,270.0,top
C4,44.55,-55.125,270.0,top
C4M1,104.9,-89.0,0.0,top
C5,47.9,-49.175,0.0,top
C5M1,103.45,-86.5,0.0,top
C6,53.35,-75.325,90.0,top
C6M1,103.0,-84.0,0.0,top
C7,44.05,-75.625,270.0,top
C7M1,102.95,-80.95,270.0,top
C8,50.5,-78.475,180.0,top
C8M1,107.2,-74.25,180.0,top
C9,44.854383,-79.069229,90.0,top
C9M1,107.45,-71.6,180.0,top
D1,118.95,-72.5,0.0,top
D2,122.95,-73.5,180.0,top
F1,243.9845,-71.727,0.0,top
IC1,49.49,-53.575,0.0,top
IC2,48.99,-74.075,0.0,top
IC3,49.0615,-95.4615,0.0,top
IC4,76.8,-94.48,0.0,top
IC5,76.485,-73.905,0.0,top
IC6,76.95,-53.765,0.0,top
IC7,110.2,-81.625,0.0,top
J1,227.157,-66.647,0.0,bottom
J2,262.209,-72.743,90.0,top
J3,253.954,-49.381,90.0,bottom
J4,31.95,-72.515,270.0,top
J5,120.5,-88.795,0.0,top
K1,250.017,-98.016,90.0,top
L1,42.95,-50.275,0.0,top
L2,42.45,-70.775,0.0,top
L3,42.5215,-92.1615,0.0,top
L4,70.26,-91.18,0.0,top
